r,theta,mass
0.08,0.41,0.538331
0.08,0.42,0.539504
0.08,0.43,0.540101
0.08,0.44,0.539966
0.08,0.45,0.539769
0.08,0.46,0.539913
0.08,0.47,0.538519
0.08,0.48,0.539785
0.08,0.49,0.539145
0.08,0.5,0.539803
0.08,0.51,0.539691
0.08,0.52,0.539556
0.08,0.53,0.540144
0.08,0.54,0.539852
0.08,0.55,0.54001
0.08,0.56,0.540263
0.08,0.57,0.54119
0.08,0.58,0.540184
0.08,0.59,0.540735
0.08,0.6,0.541448
0.08,0.61,0.54054
0.08,0.62,0.54062
0.08,0.63,0.541334
0.08,0.64,0.54135
0.08,0.65,0.540623
0.08,0.66,0.54114
0.08,0.67,0.54171
0.08,0.68,0.542367
0.08,0.69,0.541633
0.08,0.7,0.541835
0.08,0.71,0.542878
0.08,0.72,0.542005
0.08,0.73,0.542221
0.08,0.74,0.542297
0.08,0.75,0.543571
0.08,0.76,0.542277
0.08,0.77,0.543091
0.08,0.78,0.543101
0.09,0,0.539192
0.09,0.01,0.539064
0.09,0.02,0.538635
0.09,0.03,0.536751
0.09,0.04,0.538819
0.09,0.05,0.536878
0.09,0.06,0.537864
0.09,0.07,0.537273
0.09,0.08,0.5375
0.09,0.09,0.536877
0.09,0.1,0.536756
0.09,0.11,0.536171
0.09,0.12,0.535657
0.09,0.13,0.535269
0.09,0.14,0.536468
0.09,0.15,0.535192
0.09,0.16,0.536037
0.09,0.17,0.535726
0.09,0.18,0.535518
0.09,0.19,0.535108
0.09,0.2,0.534605
0.09,0.21,0.535007
0.09,0.22,0.534431
0.09,0.23,0.535048
0.09,0.24,0.53346
0.09,0.25,0.534327
0.09,0.26,0.533498
0.09,0.27,0.534304
0.09,0.28,0.534334
0.09,0.29,0.533684
0.09,0.3,0.534237
0.09,0.31,0.533398
0.09,0.32,0.534184
0.09,0.33,0.53445
0.09,0.34,0.532795
0.09,0.35,0.534656
0.09,0.36,0.534341
0.09,0.37,0.534144
0.09,0.38,0.53363
0.09,0.39,0.53349
0.09,0.4,0.533079
0.09,0.41,0.534349
0.09,0.42,0.534222
0.09,0.43,0.533243
0.09,0.44,0.534048
0.09,0.45,0.533228
0.09,0.46,0.534187
0.09,0.47,0.534913
0.09,0.48,0.533585
0.09,0.49,0.534048
0.09,0.5,0.534456
0.09,0.51,0.534961
0.09,0.52,0.53372
0.09,0.53,0.534036
0.09,0.54,0.534794
0.09,0.55,0.533914
0.09,0.56,0.534746
0.09,0.57,0.534279
0.09,0.58,0.534796
0.09,0.59,0.535435
0.09,0.6,0.534144
0.09,0.61,0.535171
0.09,0.62,0.535108
0.09,0.63,0.534873
0.09,0.64,0.536475
0.09,0.65,0.535857
0.09,0.66,0.536165
0.09,0.67,0.536793
0.09,0.68,0.536696
0.09,0.69,0.535178
0.09,0.7,0.537054
0.09,0.71,0.537736
0.09,0.72,0.53718
0.09,0.73,0.537415
0.09,0.74,0.537795
0.09,0.75,0.538556
0.09,0.76,0.537189
0.09,0.77,0.538015
0.09,0.78,0.537668
0.1,0,0.533023
0.1,0.01,0.532789
0.1,0.02,0.532532
0.1,0.03,0.532332
0.1,0.04,0.532812
0.1,0.05,0.532596
0.1,0.06,0.532292
0.1,0.07,0.531595
0.1,0.08,0.531804
0.1,0.09,0.531243
0.1,0.1,0.531473
0.1,0.11,0.531736
0.1,0.12,0.530906
0.1,0.13,0.530969
0.1,0.14,0.532397
0.1,0.15,0.529622
0.1,0.16,0.530062
0.1,0.17,0.5306
0.1,0.18,0.530363
0.1,0.19,0.529664
0.1,0.2,0.528841
0.1,0.21,0.528157
0.1,0.22,0.530466
0.1,0.23,0.528954
0.1,0.24,0.527691
0.1,0.25,0.529975
0.1,0.26,0.528282
0.1,0.27,0.529891
0.1,0.28,0.527829
0.1,0.29,0.5294
0.1,0.3,0.527776
0.1,0.31,0.528036
0.1,0.32,0.528632
0.1,0.33,0.528322
0.1,0.34,0.528926
0.1,0.35,0.528313
0.1,0.36,0.527775
0.1,0.37,0.528044
0.1,0.38,0.528591
0.1,0.39,0.527257
0.1,0.4,0.528376
0.1,0.41,0.52761
0.1,0.42,0.526767
0.1,0.43,0.528662
0.1,0.44,0.528551
0.1,0.45,0.528171
0.1,0.46,0.527857
0.1,0.47,0.528019
0.1,0.48,0.529599
0.1,0.49,0.528137
0.1,0.5,0.528302
0.1,0.51,0.529529
0.1,0.52,0.528443
0.1,0.53,0.529181
0.1,0.54,0.52933
0.1,0.55,0.529634
0.1,0.56,0.530377
0.1,0.57,0.527764
0.1,0.58,0.529132
0.1,0.59,0.529044
0.1,0.6,0.52935
0.1,0.61,0.530309
0.1,0.62,0.530534
0.1,0.63,0.529628
0.1,0.64,0.529647
0.1,0.65,0.531709
0.1,0.66,0.530573
0.1,0.67,0.531148
0.1,0.68,0.531568
0.1,0.69,0.531236
0.1,0.7,0.532308
0.1,0.71,0.532778
0.1,0.72,0.53288
0.1,0.73,0.532022
0.1,0.74,0.533621
0.1,0.75,0.532805
0.1,0.76,0.53223
0.1,0.77,0.534603
0.1,0.78,0.532796
0.11,0,0.527963
0.11,0.01,0.527702
0.11,0.02,0.528737
0.11,0.03,0.527704
0.11,0.04,0.526837
0.11,0.05,0.527932
0.11,0.06,0.526935
0.11,0.07,0.526551
0.11,0.08,0.525821
