x,y,mass
0.08,0,0.568681
0.08,0.01,0.567162
0.08,0.02,0.564905
0.08,0.03,0.562092
0.08,0.04,0.561038
0.08,0.05,0.558315
0.08,0.06,0.555237
0.08,0.07,0.554701
0.08,0.08,0.551719
0.08,0.09,0.55
0.08,0.1,0.548261
0.08,0.11,0.545548
0.08,0.12,0.543603
0.08,0.13,0.541101
0.08,0.14,0.538044
0.08,0.15,0.53591
0.08,0.16,0.533818
0.08,0.17,0.532086
0.08,0.18,0.529475
0.08,0.19,0.527776
0.08,0.2,0.526
0.08,0.21,0.524066
0.08,0.22,0.520697
0.08,0.23,0.519767
0.08,0.24,0.517569
0.08,0.25,0.516791
0.08,0.26,0.514571
0.08,0.27,0.513018
0.08,0.28,0.512435
0.08,0.29,0.509135
0.08,0.3,0.507893
0.08,0.31,0.506346
0.08,0.32,0.50512
0.08,0.33,0.504452
0.08,0.34,0.502206
0.08,0.35,0.501926
0.08,0.36,0.499863
0.08,0.37,0.498732
0.08,0.38,0.498489
0.08,0.39,0.498023
0.08,0.4,0.496705
0.08,0.41,0.495431
0.08,0.42,0.495283
0.08,0.43,0.494064
0.08,0.44,0.49392
0.08,0.45,0.494216
0.08,0.46,0.493115
0.08,0.47,0.49205
0.08,0.48,0.492936
0.08,0.49,0.490874
0.08,0.5,0.492911
0.08,0.51,0.49232
0.08,0.52,0.49394
0.08,0.53,0.492642
0.08,0.54,0.491666
0.08,0.55,0.493895
0.08,0.56,0.494782
0.08,0.57,0.494617
0.08,0.58,0.495266
0.08,0.59,0.495352
0.08,0.6,0.496721
0.08,0.61,0.497573
0.08,0.62,0.498764
0.08,0.63,0.500384
0.08,0.64,0.501397
0.08,0.65,0.502126
0.08,0.66,0.503406
0.08,0.67,0.503358
0.08,0.68,0.50405
0.08,0.69,0.50543
0.08,0.7,0.508878
0.08,0.71,0.509709
0.08,0.72,0.511209
0.08,0.73,0.513422
0.08,0.74,0.514308
0.08,0.75,0.516024
0.08,0.76,0.517838
0.08,0.77,0.521297
0.08,0.78,0.522247
0.08,0.79,0.523014
0.08,0.8,0.525768
0.08,0.81,0.527796
0.08,0.82,0.53104
0.08,0.83,0.531718
0.08,0.84,0.535192
0.08,0.85,0.53676
0.08,0.86,0.538696
0.08,0.87,0.540819
0.08,0.88,0.54168
0.08,0.89,0.545149
0.08,0.9,0.547937
0.08,0.91,0.549961
0.08,0.92,0.552741
0.08,0.93,0.553671
0.08,0.94,0.556067
0.08,0.95,0.559111
0.08,0.96,0.561149
0.08,0.97,0.563425
0.08,0.98,0.565434
0.08,0.99,0.567823
0.09,0,0.567831
0.09,0.01,0.565262
0.09,0.02,0.563118
0.09,0.03,0.561379
0.09,0.04,0.55891
0.09,0.05,0.555776
0.09,0.06,0.555223
0.09,0.07,0.551852
0.09,0.08,0.549836
0.09,0.09,0.547697
0.09,0.1,0.545719
0.09,0.11,0.541683
0.09,0.12,0.540469
0.09,0.13,0.538518
0.09,0.14,0.5365
0.09,0.15,0.534095
0.09,0.16,0.531711
0.09,0.17,0.529657
0.09,0.18,0.527512
0.09,0.19,0.524296
0.09,0.2,0.522583
0.09,0.21,0.520571
0.09,0.22,0.517848
0.09,0.23,0.51677
0.09,0.24,0.514389
0.09,0.25,0.51273
0.09,0.26,0.511454
0.09,0.27,0.509229
0.09,0.28,0.507846
0.09,0.29,0.506382
0.09,0.3,0.505986
0.09,0.31,0.503745
0.09,0.32,0.501934
0.09,0.33,0.500241
0.09,0.34,0.497977
0.09,0.35,0.497797
0.09,0.36,0.496306
0.09,0.37,0.495734
0.09,0.38,0.49419
0.09,0.39,0.492948
0.09,0.4,0.493627
0.09,0.41,0.491483
0.09,0.42,0.491351
0.09,0.43,0.490858
0.09,0.44,0.490255
0.09,0.45,0.488532
0.09,0.46,0.489312
0.09,0.47,0.489042
0.09,0.48,0.488444
0.09,0.49,0.489183
0.09,0.5,0.487065
0.09,0.51,0.487356
0.09,0.52,0.488478
0.09,0.53,0.488293
0.09,0.54,0.489616
0.09,0.55,0.489663
0.09,0.56,0.490433
0.09,0.57,0.490403
0.09,0.58,0.491299
0.09,0.59,0.490967
0.09,0.6,0.492601
0.09,0.61,0.492706
0.09,0.62,0.494973
0.09,0.63,0.495242
0.09,0.64,0.496578
0.09,0.65,0.497462
0.09,0.66,0.498339
0.09,0.67,0.500214
0.09,0.68,0.500159
0.09,0.69,0.503718
0.09,0.7,0.503446
0.09,0.71,0.507097
0.09,0.72,0.507351
0.09,0.73,0.509124
0.09,0.74,0.511675
0.09,0.75,0.513878
0.09,0.76,0.51519
0.09,0.77,0.517727
0.09,0.78,0.518764
0.09,0.79,0.523001
0.09,0.8,0.52308
0.09,0.81,0.524441
0.09,0.82,0.527832
0.09,0.83,0.529284
0.09,0.84,0.53122
0.09,0.85,0.533198
0.09,0.86,0.53564
0.09,0.87,0.538281
0.09,0.88,0.540414
0.09,0.89,0.543069
0.09,0.9,0.545064
0.09,0.91,0.547545
0.09,0.92,0.549939
0.09,0.93,0.552585
0.09,0.94,0.555132
0.09,0.95,0.55701
0.09,0.96,0.558834
0.09,0.97,0.561786
0.09,0.98,0.563143
0.09,0.99,0.566095
0.1,0,0.565734
0.1,0.01,0.564997
0.1,0.02,0.562134
0.1,0.03,0.55958
0.1,0.04,0.556864
0.1,0.05,0.555226
0.1,0.06,0.552094
0.1,0.07,0.550336
0.1,0.08,0.546613
0.1,0.09,0.545291
0.1,0.1,0.543341
0.1,0.11,0.540649
0.1,0.12,0.53825
0.1,0.13,0.536148
0.1,0.14,0.532801
0.1,0.15,0.529927
0.1,0.16,0.528941
0.1,0.17,0.525354
0.1,0.18,0.524223
0.1,0.19,0.521062
0.1,0.2,0.519966
0.1,0.21,0.517683
0.1,0.22,0.515591
0.1,0.23,0.513912
0.1,0.24,0.513041
0.1,0.25,0.509284
0.1,0.26,0.507439
0.1,0.27,0.507734
0.1,0.28,0.503936
0.1,0.29,0.502451
0.1,0.3,0.50025
0.1,0.31,0.499506
0.1,0.32,0.498417
0.1,0.33,0.496277
0.1,0.34,0.495277
0.1,0.35,0.493318
0.1,0.36,0.492013
0.1,0.37,0.492404
0.1,0.38,0.49006
0.1,0.39,0.489723
0.1,0.4,0.489631
0.1,0.41,0.487639
0.1,0.42,0.487407
0.1,0.43,0.486548
0.1,0.44,0.485348
0.1,0.45,0.484858
0.1,0.46,0.484665
0.1,0.47,0.484952
0.1,0.48,0.483728
0.1,0.49,0.484943
0.1,0.5,0.484668
0.1,0.51,0.483449
0.1,0.52,0.483568
0.1,0.53,0.484056
0.1,0.54,0.484274
0.1,0.55,0.484875
0.1,0.56,0.486463
0.1,0.57,0.486211
0.1,0.58,0.487581
0.1,0.59,0.487997
0.1,0.6,0.488517
0.1,0.61,0.489158
0.1,0.62,0.489899
0.1,0.63,0.490614
0.1,0.64,0.493023
0.1,0.65,0.494289
0.1,0.66,0.495861
0.1,0.67,0.495752
0.1,0.68,0.497111
0.1,0.69,0.497777
0.1,0.7,0.501439
0.1,0.71,0.501778
0.1,0.72,0.503557
0.1,0.73,0.504893
0.1,0.74,0.50791
0.1,0.75,0.509432
0.1,0.76,0.510827
0.1,0.77,0.514742
0.1,0.78,0.515729
0.1,0.79,0.517896
0.1,0.8,0.520161
0.1,0.81,0.52225
0.1,0.82,0.523972
0.1,0.83,0.526993
0.1,0.84,0.528925
0.1,0.85,0.530521
0.1,0.86,0.532611
0.1,0.87,0.536141
0.1,0.88,0.538744
0.1,0.89,0.54063
0.1,0.9,0.543883
